
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-01-01;30.428,96;7427221709052;35.533,46;6677146840162;34.304,92;9511214044843;33.723,38;340883657003;62.481,58;1180836414416;30.527,51;11657733344135
2015-01-02;30.413,63;7422414326391;35.522,22;6675170540150;34.287,64;9511520400210;33.707,44;340825483827;62.453,54;1180384388620;30.519,40;11654182372610
2015-01-03;30.413,63;7422414326391;35.522,22;6675170540150;34.287,64;9511520400210;33.707,44;340825483827;62.453,54;1180384388620;30.519,40;11654182372610
2015-01-04;30.413,63;7422414326391;35.522,22;6675170540150;34.287,64;9511520400210;33.707,44;340825483827;62.453,54;1180384388620;30.519,40;11654182372610
2015-01-05;30.507,84;7445796278391;35.637,41;6695782390389;34.397,96;9540952625104;33.814,14;341367683563;62.640,94;1183899945962;30.573,21;11674483980537
2015-01-06;30.440,31;7424023489074;35.551,28;6691982365796;34.326,60;9521927227721;33.733,93;341472558890;62.488,08;1178131091316;30.500,79;11647010351822
2015-01-07;30.302,01;7389763325577;35.389,42;6661781240969;34.180,06;9481849356570;33.571,73;339977172526;62.204,81;1172951620546;30.369,10;11597289303345
2015-01-08;30.318,88;7394115428294;35.418,34;6669572728488;34.205,30;9485184607519;33.574,37;340281416005;62.228,92;1173430975612;30.398,15;11608316860699
2015-01-09;30.437,57;7422807680006;35.561,25;6694604556247;34.342,04;9524513455192;33.706,52;341668599058;62.473,93;1181986896697;30.522,40;11656754357426
2015-01-10;30.437,57;7422807680006;35.561,25;6694604556247;34.342,04;9524513455192;33.706,52;341668599058;62.473,93;1181986896697;30.522,40;11656754357426
2015-01-11;30.437,57;7422807680006;35.561,25;6694604556247;34.342,04;9524513455192;33.706,52;341668599058;62.473,93;1181986896697;30.522,40;11656754357426
2015-01-12;30.463,94;7429977281773;35.593,37;6697097900831;34.380,05;9536388765786;33.739,63;342490436547;62.535,48;1183460604797;30.547,47;11668890483708
2015-01-13;30.478,62;7434323491465;35.607,94;6703251528987;34.407,21;9548525739813;33.753,51;343909133036;62.571,31;1185096857554;30.559,81;11677150930796
2015-01-14;30.533,09;7456864351866;35.671,77;6727572571816;34.470,64;9581199567722;33.801,94;347637211605;62.679,48;1189399949021;30.607,58;11712627844058
2015-01-15;30.634,90;7492421750561;35.793,97;6760848907755;34.585,91;9629654514937;33.900,11;350950042714;62.846,97;1190671668432;30.716,07;11769803124165
2015-01-16;30.601,93;7483314262867;35.764,96;6757295299130;34.554,09;9621446486620;33.865,96;350604912825;62.786,23;1189600658031;30.683,09;11756965901363
2015-01-17;30.601,93;7483314262867;35.764,96;6757295299130;34.554,09;9621446486620;33.865,96;350604912825;62.786,23;1189600658031;30.683,09;11756965901363
2015-01-18;30.601,93;7483314262867;35.764,96;6757295299130;34.554,09;9621446486620;33.865,96;350604912825;62.786,23;1189600658031;30.683,09;11756965901363
2015-01-19;30.693,85;7506407478973;35.875,49;6779994256023;34.654,49;9650402880243;33.939,18;350519971878;62.957,53;1192908313282;30.780,28;11793841619122
